Stage,Round,Team 1,FT,Team 2
A,1,Tiburones Rojos Veracruz,0-2,Pumas UNAM
A,1,Club Atlas,0-0,Querétaro FC
A,1,Cruz Azul,3-0,Club Puebla
A,1,CF Pachuca,0-1,CF Monterrey
A,1,Club Tijuana,02-Jan,CD Guadalajara Chivas
A,1,Tigres UANL,2-0,Club León
A,1,Club Necaxa,02-Jan,Club América
A,1,Santos Laguna,02-Jan,Lobos BUAP
A,1,Deportivo Toluca FC,2-0,Monarcas Morelia
A,1,Monarcas Morelia,03-Jan,Santos Laguna
A,1,Club Puebla,02-Jan,Deportivo Toluca FC
A,1,CD Guadalajara Chivas,0-1,Cruz Azul
A,1,Club América,3-0,Club Atlas
A,1,Querétaro FC,1-0,CF Pachuca
A,1,Pumas UNAM,05-Mar,Club Necaxa
A,1,Lobos BUAP,2-0,Tiburones Rojos Veracruz
A,1,Club León,0-2,CF Monterrey
A,1,Tigres UANL,1-0,Club Tijuana
A,1,Club Atlas,0-3,Pumas UNAM
A,1,Tiburones Rojos Veracruz,02-Feb,Monarcas Morelia
A,1,Club Necaxa,1-0,Lobos BUAP
A,1,CF Pachuca,01-Mar,Club América
A,1,CF Monterrey,02-Jan,Querétaro FC
A,1,Cruz Azul,1-0,Tigres UANL
A,1,Deportivo Toluca FC,02-Feb,CD Guadalajara Chivas
A,1,Santos Laguna,2-0,Club Puebla
A,1,Club Tijuana,01-Jan,Club León
A,1,Club Puebla,01-Feb,Tiburones Rojos Veracruz
A,1,Monarcas Morelia,02-Jan,Club Necaxa
A,1,Club América,3-0,CF Monterrey
A,1,Club León,4-0,Querétaro FC
A,1,Tigres UANL,01-Feb,Deportivo Toluca FC
A,1,Lobos BUAP,0-0,Club Atlas
A,1,Pumas UNAM,0-0,CF Pachuca
A,1,Club Tijuana,01-Jan,Cruz Azul
A,1,CD Guadalajara Chivas,01-Feb,Santos Laguna
A,1,Tiburones Rojos Veracruz,0-2,CD Guadalajara Chivas
A,1,Club Atlas,0-1,Monarcas Morelia
A,1,CF Pachuca,3-0,Lobos BUAP
A,1,Cruz Azul,3-0,Club León
A,1,CF Monterrey,1-0,Pumas UNAM
A,1,Querétaro FC,01-Jan,Club América
A,1,Club Necaxa,02-Feb,Club Puebla
A,1,Santos Laguna,03-Jan,Tigres UANL
A,1,Deportivo Toluca FC,3-0,Club Tijuana
A,1,Monarcas Morelia,01-Jan,CF Pachuca
A,1,Pumas UNAM,0-1,Querétaro FC
A,1,Club Puebla,2-0,Club Atlas
A,1,CD Guadalajara Chivas,1-0,Club Necaxa
A,1,Cruz Azul,1-0,Deportivo Toluca FC
A,1,Club León,2-0,Club América
A,1,Tigres UANL,4-0,Tiburones Rojos Veracruz
A,1,Club Tijuana,02-Feb,Santos Laguna
A,1,Lobos BUAP,01-Feb,CF Monterrey
A,1,Club Atlas,0-1,CD Guadalajara Chivas
A,1,Club América,02-Feb,Pumas UNAM
A,1,CF Monterrey,02-Feb,Monarcas Morelia
A,1,Tiburones Rojos Veracruz,1-0,Club Tijuana
A,1,Club Necaxa,01-Jan,Tigres UANL
A,1,CF Pachuca,2-0,Club Puebla
A,1,Querétaro FC,2-0,Lobos BUAP
A,1,Deportivo Toluca FC,01-Feb,Club León
A,1,Santos Laguna,01-Jan,Cruz Azul
A,1,Monarcas Morelia,01-Apr,Querétaro FC
A,1,Club Puebla,02-Jan,CF Monterrey
A,1,Club Tijuana,1-0,Club Necaxa
A,1,Cruz Azul,04-Jan,Tiburones Rojos Veracruz
A,1,Club León,01-Feb,Pumas UNAM
A,1,CD Guadalajara Chivas,01-Mar,CF Pachuca
