Stage,Team 1,FT,Team 2
A,Tiburones Rojos Veracruz,0-2,Pumas UNAM
A,Club Atlas,0-0,Querétaro FC
A,Cruz Azul,3-0,Club Puebla
A,CF Pachuca,0-1,CF Monterrey
A,Club Tijuana,02-Jan,CD Guadalajara Chivas
A,Tigres UANL,2-0,Club León
A,Club Necaxa,02-Jan,Club América
A,Santos Laguna,02-Jan,Lobos BUAP
A,Deportivo Toluca FC,2-0,Monarcas Morelia
A,Monarcas Morelia,03-Jan,Santos Laguna
A,Club Puebla,02-Jan,Deportivo Toluca FC
A,CD Guadalajara Chivas,0-1,Cruz Azul
A,Club América,3-0,Club Atlas
A,Querétaro FC,1-0,CF Pachuca
A,Pumas UNAM,05-Mar,Club Necaxa
A,Lobos BUAP,2-0,Tiburones Rojos Veracruz
A,Club León,0-2,CF Monterrey
A,Tigres UANL,1-0,Club Tijuana
A,Club Atlas,0-3,Pumas UNAM
A,Tiburones Rojos Veracruz,02-Feb,Monarcas Morelia
A,Club Necaxa,1-0,Lobos BUAP
A,CF Pachuca,01-Mar,Club América
A,CF Monterrey,02-Jan,Querétaro FC
A,Cruz Azul,1-0,Tigres UANL
A,Deportivo Toluca FC,02-Feb,CD Guadalajara Chivas
A,Santos Laguna,2-0,Club Puebla
A,Club Tijuana,01-Jan,Club León
A,Club Puebla,01-Feb,Tiburones Rojos Veracruz
A,Monarcas Morelia,02-Jan,Club Necaxa
A,Club América,3-0,CF Monterrey
A,Club León,4-0,Querétaro FC
A,Tigres UANL,01-Feb,Deportivo Toluca FC
A,Lobos BUAP,0-0,Club Atlas
A,Pumas UNAM,0-0,CF Pachuca
A,Club Tijuana,01-Jan,Cruz Azul
A,CD Guadalajara Chivas,01-Feb,Santos Laguna
A,Tiburones Rojos Veracruz,0-2,CD Guadalajara Chivas
A,Club Atlas,0-1,Monarcas Morelia
A,CF Pachuca,3-0,Lobos BUAP
A,Cruz Azul,3-0,Club León
A,CF Monterrey,1-0,Pumas UNAM
A,Querétaro FC,01-Jan,Club América
A,Club Necaxa,02-Feb,Club Puebla
A,Santos Laguna,03-Jan,Tigres UANL
A,Deportivo Toluca FC,3-0,Club Tijuana
A,Monarcas Morelia,01-Jan,CF Pachuca
A,Pumas UNAM,0-1,Querétaro FC
A,Club Puebla,2-0,Club Atlas
A,CD Guadalajara Chivas,1-0,Club Necaxa
A,Cruz Azul,1-0,Deportivo Toluca FC
A,Club León,2-0,Club América
A,Tigres UANL,4-0,Tiburones Rojos Veracruz
A,Club Tijuana,02-Feb,Santos Laguna
A,Lobos BUAP,01-Feb,CF Monterrey
A,Club Atlas,0-1,CD Guadalajara Chivas
A,Club América,02-Feb,Pumas UNAM
A,CF Monterrey,02-Feb,Monarcas Morelia
A,Tiburones Rojos Veracruz,1-0,Club Tijuana
A,Club Necaxa,01-Jan,Tigres UANL
A,CF Pachuca,2-0,Club Puebla
A,Querétaro FC,2-0,Lobos BUAP
A,Deportivo Toluca FC,01-Feb,Club León
A,Santos Laguna,01-Jan,Cruz Azul
A,Monarcas Morelia,01-Apr,Querétaro FC
A,Club Puebla,02-Jan,CF Monterrey
A,Club Tijuana,1-0,Club Necaxa
A,Cruz Azul,04-Jan,Tiburones Rojos Veracruz
A,Club León,01-Feb,Pumas UNAM
A,CD Guadalajara Chivas,01-Mar,CF Pachuca
A,Tigres UANL,03-Jan,Club Atlas
A,Deportivo Toluca FC,02-Jan,Santos Laguna
A,Lobos BUAP,0-2,Club América
A,Tiburones Rojos Veracruz,02-Mar,Deportivo Toluca FC
A,CF Pachuca,01-Jan,Tigres UANL
A,Querétaro FC,0-1,Club Puebla
A,Club América,02-Jan,Monarcas Morelia
A,CF Monterrey,02-Apr,CD Guadalajara Chivas
A,Club Necaxa,2-0,Cruz Azul
A,Pumas UNAM,04-Feb,Lobos BUAP
A,Santos Laguna,3-0,Club León
A,Club Atlas,0-1,Club Tijuana
A,Monarcas Morelia,0-0,Pumas UNAM
A,Club Puebla,02-Mar,Club América
A,Deportivo Toluca FC,03-Feb,Club Necaxa
A,Club Tijuana,1-0,CF Pachuca
A,Cruz Azul,2-0,Club Atlas
A,Club León,0-1,Lobos BUAP
