Stage,Round,Date,Team 1,FT,Team 2
Apertura,1,Fri Jul 20 2018,Tiburones Rojos Veracruz,0-2,Pumas UNAM
Apertura,1,Fri Jul 20 2018,Club Atlas,0-0,Querétaro FC
Apertura,1,Sat Jul 21 2018,Cruz Azul,3-0,Club Puebla
Apertura,1,Sat Jul 21 2018,CF Pachuca,0-1,CF Monterrey
Apertura,1,Sat Jul 21 2018,Club Tijuana,02-Jan,CD Guadalajara Chivas
Apertura,1,Sat Jul 21 2018,Tigres UANL,2-0,Club León
Apertura,1,Sun Jul 22 2018,Club Necaxa,02-Jan,Club América
Apertura,1,Sun Jul 22 2018,Santos Laguna,02-Jan,Lobos BUAP
Apertura,1,Sun Jul 22 2018,Deportivo Toluca FC,2-0,Monarcas Morelia
Apertura,2,Fri Jul 27 2018,Monarcas Morelia,03-Jan,Santos Laguna
Apertura,2,Fri Jul 27 2018,Club Puebla,02-Jan,Deportivo Toluca FC
Apertura,2,Sat Jul 28 2018,CD Guadalajara Chivas,0-1,Cruz Azul
Apertura,2,Sat Jul 28 2018,Club América,3-0,Club Atlas
Apertura,2,Sat Jul 28 2018,Querétaro FC,1-0,CF Pachuca
Apertura,2,Sun Jul 29 2018,Pumas UNAM,05-Mar,Club Necaxa
Apertura,2,Sun Jul 29 2018,Lobos BUAP,2-0,Tiburones Rojos Veracruz
Apertura,2,Sun Jul 29 2018,Club León,0-2,CF Monterrey
Apertura,2,Sun Jul 29 2018,Tigres UANL,1-0,Club Tijuana
Apertura,3,Fri Aug 3 2018,Club Atlas,0-3,Pumas UNAM
Apertura,3,Fri Aug 3 2018,Tiburones Rojos Veracruz,02-Feb,Monarcas Morelia
Apertura,3,Sat Aug 4 2018,Club Necaxa,1-0,Lobos BUAP
Apertura,3,Sat Aug 4 2018,CF Pachuca,01-Mar,Club América
Apertura,3,Sat Aug 4 2018,CF Monterrey,02-Jan,Querétaro FC
Apertura,3,Sat Aug 4 2018,Cruz Azul,1-0,Tigres UANL
Apertura,3,Sun Aug 5 2018,Deportivo Toluca FC,02-Feb,CD Guadalajara Chivas
Apertura,3,Sun Aug 5 2018,Santos Laguna,2-0,Club Puebla
Apertura,3,Sun Aug 5 2018,Club Tijuana,01-Jan,Club León
Apertura,4,Fri Aug 10 2018,Club Puebla,01-Feb,Tiburones Rojos Veracruz
Apertura,4,Fri Aug 10 2018,Monarcas Morelia,02-Jan,Club Necaxa
Apertura,4,Sat Aug 11 2018,Club América,3-0,CF Monterrey
Apertura,4,Sat Aug 11 2018,Club León,4-0,Querétaro FC
Apertura,4,Sat Aug 11 2018,Tigres UANL,01-Feb,Deportivo Toluca FC
Apertura,4,Sat Aug 11 2018,Lobos BUAP,0-0,Club Atlas
Apertura,4,Sun Aug 12 2018,Pumas UNAM,0-0,CF Pachuca
Apertura,4,Sun Aug 12 2018,Club Tijuana,01-Jan,Cruz Azul
Apertura,4,Sun Aug 12 2018,CD Guadalajara Chivas,01-Feb,Santos Laguna
Apertura,5,Fri Aug 17 2018,Tiburones Rojos Veracruz,0-2,CD Guadalajara Chivas
Apertura,5,Fri Aug 17 2018,Club Atlas,0-1,Monarcas Morelia
Apertura,5,Sat Aug 18 2018,CF Pachuca,3-0,Lobos BUAP
Apertura,5,Sat Aug 18 2018,Cruz Azul,3-0,Club León
Apertura,5,Sat Aug 18 2018,CF Monterrey,1-0,Pumas UNAM
Apertura,5,Sat Aug 18 2018,Querétaro FC,01-Jan,Club América
Apertura,5,Sat Aug 18 2018,Club Necaxa,02-Feb,Club Puebla
Apertura,5,Sun Aug 19 2018,Santos Laguna,03-Jan,Tigres UANL
Apertura,5,Sun Aug 19 2018,Deportivo Toluca FC,3-0,Club Tijuana
Apertura,6,Tue Aug 21 2018,Monarcas Morelia,01-Jan,CF Pachuca
Apertura,6,Tue Aug 21 2018,Pumas UNAM,0-1,Querétaro FC
Apertura,6,Tue Aug 21 2018,Club Puebla,2-0,Club Atlas
Apertura,6,Tue Aug 21 2018,CD Guadalajara Chivas,1-0,Club Necaxa
Apertura,6,Wed Aug 22 2018,Cruz Azul,1-0,Deportivo Toluca FC
Apertura,6,Wed Aug 22 2018,Club León,2-0,Club América
Apertura,6,Wed Aug 22 2018,Tigres UANL,4-0,Tiburones Rojos Veracruz
Apertura,6,Wed Aug 22 2018,Club Tijuana,02-Feb,Santos Laguna
Apertura,6,Wed Aug 22 2018,Lobos BUAP,01-Feb,CF Monterrey
Apertura,7,Fri Aug 24 2018,Club Atlas,0-1,CD Guadalajara Chivas
Apertura,7,Sat Aug 25 2018,Club América,02-Feb,Pumas UNAM
Apertura,7,Sat Aug 25 2018,CF Monterrey,02-Feb,Monarcas Morelia
Apertura,7,Sat Aug 25 2018,Tiburones Rojos Veracruz,1-0,Club Tijuana
Apertura,7,Sat Aug 25 2018,Club Necaxa,01-Jan,Tigres UANL
Apertura,7,Sat Aug 25 2018,CF Pachuca,2-0,Club Puebla
Apertura,7,Sun Aug 26 2018,Querétaro FC,2-0,Lobos BUAP
Apertura,7,Sun Aug 26 2018,Deportivo Toluca FC,01-Feb,Club León
Apertura,7,Sun Aug 26 2018,Santos Laguna,01-Jan,Cruz Azul
Apertura,8,Fri Aug 31 2018,Monarcas Morelia,01-Apr,Querétaro FC
Apertura,8,Fri Aug 31 2018,Club Puebla,02-Jan,CF Monterrey
Apertura,8,Fri Aug 31 2018,Club Tijuana,1-0,Club Necaxa
Apertura,8,Sat Sep 1 2018,Cruz Azul,04-Jan,Tiburones Rojos Veracruz
Apertura,8,Sat Sep 1 2018,Club León,01-Feb,Pumas UNAM
Apertura,8,Sat Sep 1 2018,CD Guadalajara Chivas,01-Mar,CF Pachuca
Apertura,8,Sat Sep 1 2018,Tigres UANL,03-Jan,Club Atlas
Apertura,8,Sun Sep 2 2018,Deportivo Toluca FC,02-Jan,Santos Laguna
Apertura,8,Sun Sep 2 2018,Lobos BUAP,0-2,Club América
Apertura,9,Fri Sep 14 2018,Tiburones Rojos Veracruz,02-Mar,Deportivo Toluca FC
Apertura,9,Sat Sep 15 2018,CF Pachuca,01-Jan,Tigres UANL
Apertura,9,Sat Sep 15 2018,Querétaro FC,0-1,Club Puebla
Apertura,9,Sat Sep 15 2018,Club América,02-Jan,Monarcas Morelia
Apertura,9,Sat Sep 15 2018,CF Monterrey,02-Apr,CD Guadalajara Chivas
Apertura,9,Sat Sep 15 2018,Club Necaxa,2-0,Cruz Azul
Apertura,9,Sun Sep 16 2018,Pumas UNAM,04-Feb,Lobos BUAP
Apertura,9,Sun Sep 16 2018,Santos Laguna,3-0,Club León
Apertura,9,Sun Sep 16 2018,Club Atlas,0-1,Club Tijuana
Apertura,10,Fri Sep 21 2018,Monarcas Morelia,0-0,Pumas UNAM
Apertura,10,Fri Sep 21 2018,Club Puebla,02-Mar,Club América
Apertura,10,Sat Sep 22 2018,Deportivo Toluca FC,03-Feb,Club Necaxa
Apertura,10,Sat Sep 22 2018,Club Tijuana,1-0,CF Pachuca
Apertura,10,Sat Sep 22 2018,Cruz Azul,2-0,Club Atlas
Apertura,10,Sat Sep 22 2018,Club León,0-1,Lobos BUAP
Apertura,10,Sun Sep 23 2018,CD Guadalajara Chivas,01-Jan,Querétaro FC
Apertura,10,Sun Sep 23 2018,Santos Laguna,01-Jan,Tiburones Rojos Veracruz
Apertura,10,Sun Sep 23 2018,Tigres UANL,0-0,CF Monterrey
Apertura,11,Fri Sep 28 2018,Tiburones Rojos Veracruz,0-4,Club León
Apertura,11,Fri Sep 28 2018,Club Atlas,2-0,Deportivo Toluca FC
Apertura,11,Sat Sep 29 2018,CF Monterrey,3-0,Club Tijuana
Apertura,11,Sat Sep 29 2018,CF Pachuca,03-Jan,Cruz Azul
Apertura,11,Sat Sep 29 2018,Club Necaxa,0-1,Santos Laguna
Apertura,11,Sat Sep 29 2018,Querétaro FC,0-2,Tigres UANL
Apertura,11,Sun Sep 30 2018,Pumas UNAM,02-Feb,Club Puebla
Apertura,11,Sun Sep 30 2018,Club América,01-Jan,CD Guadalajara Chivas
Apertura,11,Sun Sep 30 2018,Lobos BUAP,03-Jan,Monarcas Morelia
Apertura,12,Fri Oct 5 2018,Santos Laguna,03-Jan,Club Atlas
Apertura,12,Fri Oct 5 2018,Tiburones Rojos Veracruz,0-0,Club Necaxa
Apertura,12,Sat Oct 6 2018,Club León,01-Feb,Monarcas Morelia
Apertura,12,Sat Oct 6 2018,Cruz Azul,02-Jan,CF Monterrey
Apertura,12,Sat Oct 6 2018,Club Tijuana,01-Jan,Querétaro FC
Apertura,12,Sat Oct 6 2018,CD Guadalajara Chivas,01-Feb,Pumas UNAM
Apertura,12,Sat Oct 6 2018,Tigres UANL,02-Mar,Club América
Apertura,12,Sun Oct 7 2018,Deportivo Toluca FC,02-Jan,CF Pachuca
Apertura,12,Sun Oct 7 2018,Club Puebla,02-Feb,Lobos BUAP
Apertura,13,Fri Oct 19 2018,Club Atlas,04-Mar,Tiburones Rojos Veracruz
Apertura,13,Sat Oct 20 2018,Querétaro FC,2-0,Cruz Azul
Apertura,13,Sat Oct 20 2018,CF Pachuca,01-Jan,Santos Laguna
Apertura,13,Sat Oct 20 2018,Club América,3-0,Club Tijuana
Apertura,13,Sat Oct 20 2018,Club Necaxa,0-2,Club León
Apertura,13,Sat Oct 20 2018,CF Monterrey,02-Jan,Deportivo Toluca FC
Apertura,13,Sun Oct 21 2018,Lobos BUAP,01-Jan,CD Guadalajara Chivas
Apertura,13,Sun Oct 21 2018,Pumas UNAM,03-Mar,Tigres UANL
Apertura,13,Sun Oct 21 2018,Monarcas Morelia,2-0,Club Puebla
Apertura,14,Fri Oct 26 2018,Tiburones Rojos Veracruz,02-Mar,CF Pachuca
Apertura,14,Fri Oct 26 2018,Santos Laguna,1-0,CF Monterrey
Apertura,14,Sat Oct 27 2018,Club Necaxa,02-Feb,Club Atlas
Apertura,14,Sat Oct 27 2018,Tigres UANL,02-Feb,Lobos BUAP
Apertura,14,Sat Oct 27 2018,CD Guadalajara Chivas,01-Feb,Monarcas Morelia
Apertura,14,Sat Oct 27 2018,Cruz Azul,0-0,Club América
Apertura,14,Sat Oct 27 2018,Club Tijuana,0-1,Pumas UNAM
Apertura,14,Sun Oct 28 2018,Deportivo Toluca FC,4-0,Querétaro FC
Apertura,14,Sun Oct 28 2018,Club León,0-4,Club Puebla
Apertura,15,Fri Nov 2 2018,Monarcas Morelia,0-2,Tigres UANL
Apertura,15,Fri Nov 2 2018,Club Puebla,02-Feb,CD Guadalajara Chivas
Apertura,15,Sat Nov 3 2018,CF Pachuca,06-Feb,Club Necaxa
Apertura,15,Sat Nov 3 2018,Club América,01-Jan,Deportivo Toluca FC
Apertura,15,Sat Nov 3 2018,CF Monterrey,2-0,Tiburones Rojos Veracruz
Apertura,15,Sat Nov 3 2018,Lobos BUAP,03-Jan,Club Tijuana
Apertura,15,Sun Nov 4 2018,Pumas UNAM,01-Feb,Cruz Azul
Apertura,15,Sun Nov 4 2018,Querétaro FC,02-Jan,Santos Laguna
Apertura,15,Sun Nov 4 2018,Club Atlas,0-0,Club León
Apertura,16,Fri Nov 9 2018,Tiburones Rojos Veracruz,02-Feb,Querétaro FC
Apertura,16,Fri Nov 9 2018,Club Atlas,0-0,CF Pachuca
Apertura,16,Sat Nov 10 2018,Club León,0-1,CD Guadalajara Chivas
Apertura,16,Sat Nov 10 2018,Cruz Azul,02-Jan,Lobos BUAP
Apertura,16,Sat Nov 10 2018,Club Tijuana,02-Mar,Monarcas Morelia
Apertura,16,Sat Nov 10 2018,Club Necaxa,01-Jan,CF Monterrey
Apertura,16,Sat Nov 10 2018,Tigres UANL,06-Jan,Club Puebla
Apertura,16,Sun Nov 11 2018,Deportivo Toluca FC,0-1,Pumas UNAM
Apertura,16,Sun Nov 11 2018,Santos Laguna,01-Jan,Club América
Apertura,17,Fri Nov 23 2018,Monarcas Morelia,0-2,Cruz Azul
Apertura,17,Fri Nov 23 2018,Club Puebla,0-0,Club Tijuana
Apertura,17,Sat Nov 24 2018,Querétaro FC,1-0,Club Necaxa
Apertura,17,Sat Nov 24 2018,CF Pachuca,01-Jan,Club León
Apertura,17,Sat Nov 24 2018,CF Monterrey,03-Jan,Club Atlas
Apertura,17,Sat Nov 24 2018,CD Guadalajara Chivas,0-1,Tigres UANL
Apertura,17,Sat Nov 24 2018,Club América,04-Jan,Tiburones Rojos Veracruz
Apertura,17,Sun Nov 25 2018,Pumas UNAM,01-Jan,Santos Laguna
Apertura,17,Sun Nov 25 2018,Lobos BUAP,2-0,Deportivo Toluca FC
Apertura - Liguilla,Cuartos de Final,Wed Nov 28 2018,CF Monterrey,1-0,Santos Laguna
Apertura - Liguilla,Cuartos de Final,Wed Nov 28 2018,Querétaro FC,0-2,Cruz Azul
Apertura - Liguilla,Cuartos de Final,Thu Nov 29 2018,Tigres UANL,02-Jan,Pumas UNAM
Apertura - Liguilla,Cuartos de Final,Thu Nov 29 2018,Deportivo Toluca FC,02-Feb,Club América
Apertura - Liguilla,Cuartos de Final,Sat Dec 1 2018,Cruz Azul,01-Jan,Querétaro FC
Apertura - Liguilla,Cuartos de Final,Sat Dec 1 2018,Santos Laguna,0-2,CF Monterrey
